,Sentence,Label
0,Allah aşkına bi fırça neden 250 tl neden yani işin sinir bozucu yanı o fırçaya eşdeğer fırça bulamamak,kızgın
1,Muavin bir şey içip içmediğimi sormak için beni uykumdan uyandırdı hala şaşkınım,surpriz
2,Herkese güzel günler öpüyorum sizler tivitır alemi,mutlu
3,Ya şu sevgililerin birbirine şifre verme olayına sinir oluyorum madem güvenmiyorsun ne diye sevgili sıfatın da,kızgın
4,Almanya'da 'yok artık' dedirten olay! Nereye park ettiğini unuttuğu arabasını 20 yıl sonra buldu ,surpriz
5,O kadar öfkeliyim ki artık kelimelerim yetmiyor bunu atmaya içimden,kızgın
6,Kızlar salak mısınız gidin okuyun mal gibi evleniyorsunuz,kızgın
7,Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayı yiyeceğim,kızgın
8,Hangi kanalı açsam laf oluyor hep bir siyaset ben de şaştım kaldım müşteriler,surpriz
9,Bu gece Ayşenur ile son gecem. Üzgünüm,üzgün
10,Yıprandım ya daha ne kadar sömürebilirsiniz acaba,üzgün
11,"Nasıl bir enerji varsa havada, kendimi harika hissediyorum, bir de bütün dileklerim gerçek olursa, tutmayın benii :) :)",mutlu
12,Pişmanım daha önce kitap okumadığım için,üzgün
13,Peaky blinders’e başlıorum çok heyecanlıyım hadi hayırlı olsun,mutlu
14,Uçaktan inince herkesin önüne geçmek gibi bir hata yaptım arkamda 100 kişi var yanlış yöne gideceğim diye ödüm koptu,korku
15,"Keşke bütün sorunlarımı uyuyarak çözebilseydim, ben uyumayıp çözmeye çalışıp üstüne bir de çözemiyorum yaşayamıyorum ben hayatı",üzgün
16,Kimya dersinden nefret ediyorum çünkü mol çözemiyorum,kızgın
17,"Yalnızlığın korkunçtu bahanesi. Her nefes alışında cigerine batıyor, battıkça alıştırıyor ve aynı yerden tekrar tekrar kanatıyordu. ",korku
18,Küfür bir ihtiyaç kardeşim etmesek sinir küpü oluruz birbirimizi doğrarız,kızgın
19,Artık herhangi bir hayaIe kucak açamayacak kadar yorgunum!,üzgün
20,Doğum günümü kutladığınız için teşekkür ederim bu arada,mutlu
21,Yok artık inanmam efsane bir transfer olur !!,surpriz
22,"Abla ayağına kürklü bot giymişti, yeminle ayağına kedi dolanmış sandım ödüm koptu",korku
23,Aaa ciddi misin bu bugüne ait görüntü mü ?,surpriz
24,hayatımın yarısı yediğim kazıkları çıkarmakla geçti ve yıprandım,üzgün
25,"Yolcu yanına çağırdı ""uçak gitmiyor aynı yerdeyiz yaıim saattir"" dedi birisine uçağın havada duramayacağını anlatacağım aklıma gelmezdi şoktayım ?? ",surpriz
26,Öğle yemeğinde bana eşlik eden Sezen Aksu'ya teşekkür ederim ,mutlu
27,Git buralardan herkesi arkanda bırak git mutsuzluğunu al yanına gözyaşlarını topla git ,üzgün
28,Agresifim herşeyden nefret edeceğim bir gece.,kızgın
29,Patlama çok büyük... ürkütücü rakamlar var. Allah korusun Yarabbi :(,korku
30,Gerçekte çift olmasını istediğim hiçbir shipim yok. Oha.,surpriz
31,Hiç hissetmediğim kadar özgür hiç olmadığım kadar mutsuz hiç düşünemeyeceğim kadar umutsuzum,üzgün
32,Sen ne kadar güzel harika ve süper dizisin :),mutlu
33,"Gerçekten hiç beklemiyordum, beklemiyorduk şahane bir sürpriz oldu verilen değerin değerini bilip değer vermek güzel bir meziyet",surpriz
34,Uzun bir süre sonra işe başlıyorum çok heyecanlıyım gerçekten,mutlu
35,Sürpriz yaparken sürprizle karşılaşmak ,surpriz
36,"Uyusam uyuyamam, çalışsam çalışamam, okusam okuyamam şaştım bu işe",surpriz
37,Sorgulamadan inanmama şaştım kaldım.,surpriz
38,Mal mısın kızım sen? Yoksa sende mi hırsızsın?,kızgın
39,Son 2 yıldır hiç bu kadar mutlu olmamıştım. Teşekkür ederim Allah'ım,mutlu
40,Hayırlı uzun güzel bir yaşam yazılsın ömrüne .. Doğum günün kutlu olsun dostum. ,mutlu
41,17. Kattayım 25 e çıkıcam ve kapalı alan fobim var ,korku
42,Bu korkunç durum son görevimizle ilgili değil. Haberimiz bile olmadan en baştan beri bu savaşın içindeydik biz..,korku
